nom_original;nouveau_nom
num_acc;numero_accident
jour;jour_accident
mois;mois_accident
an;annee_accident
hrmn;heure_accident
lum;conditions_lumieres
dep;departement
com;commune
agg;localisation
int;type_intersection
atm;conditions_atmospheriques
col;type_collision
adr;adresse
lat;latitude
long;longitude
catr;categorie_route
voie;numero_route
v1;indice_route
v2;lettre_route
circ;regime_circulation
nbv;nombre_voies
vosp;presence_voie_reservee
prof;profil_route
pr;numero_pr
pr1;distance_pr
plan;tracage_route
surf;etat_surface
infra;infrastructure
situ;situation_accident
vma;vitesse_max_autorisee
id_vehicule;identifiant_vehicule
num_veh;numero_vehicule
senc;sens_circulation
catv;categorie_vehicule
obs;obstacle_fixe_heurte
obsm;obstacle_mobile_heurte
choc;point_choc_initial
manv;manoeuvre_avant_accident
motor;type_motorisation
occutc;nombre_occupants_tc
id_usager;identifiant_usager
place;place_occupant
catu;categorie_usager
grav;gravite_blessure
sexe;sexe_usager
an_nais;annee_naissance
trajet;motif_deplacement
secu1;equipement_securite_1
secu2;equipement_securite_2
secu3;equipement_securite_3
locp;localisation_pieton
actp;action_pieton
etatp;etat_pieton
